zeichenBreite = 8
 ,3.5,6.5,5.1,3.5,6.5,5.1,3.5,6.5,5.1,
!,3.50032,6.65568,4.91278,3.50032,6.65568,4.91278,3.50032,6.65568,4.91278,
*,3.49477,6.93152,4.96934,3.49477,6.93152,4.96934,3.49477,6.93152,4.96934,
#,3.45605,6.9143,4.65076,3.45605,6.9143,4.65076,3.45605,6.9143,4.65076,
$,3.49816,6.83629,4.62815,3.49816,6.83629,4.62815,3.49816,6.83629,4.62815,
%,3.46361,6.95273,4.55266,3.46361,6.95273,4.55266,3.46361,6.95273,4.55266,
&,3.54107,6.74857,4.61848,3.54107,6.74857,4.61848,3.54107,6.74857,4.61848,
',3.49568,6.7056,5.04615,3.49568,6.7056,5.04615,3.49568,6.7056,5.04615,
(,3.52243,6.4748,4.79512,3.52243,6.4748,4.79512,3.52243,6.4748,4.79512,
),3.4485,6.51629,4.81397,3.4485,6.51629,4.81397,3.4485,6.51629,4.81397,
*,3.49316,6.98746,4.87048,3.49316,6.98746,4.87048,3.49316,6.98746,4.87048,
+,3.4917,6.41215,4.94086,3.4917,6.41215,4.94086,3.4917,6.41215,4.94086,
,,3.51118,6.06737,5.00982,3.51118,6.06737,5.00982,3.51118,6.06737,5.00982,
-,3.48956,6.47953,5.08427,3.48956,6.47953,5.08427,3.48956,6.47953,5.08427,
.,3.50317,6.37505,5.07242,3.50317,6.37505,5.07242,3.50317,6.37505,5.07242,
/,3.48452,6.51014,4.85803,3.48452,6.51014,4.85803,3.48452,6.51014,4.85803,
0,3.48052,6.95198,4.59875,3.48052,6.95198,4.59875,3.48052,6.95198,4.59875,
1,3.49757,6.6214,4.89286,3.49757,6.6214,4.89286,3.49757,6.6214,4.89286,
2,3.38868,6.67774,4.8613,3.38868,6.67774,4.8613,3.38868,6.67774,4.8613,
3,3.33402,6.75158,4.88239,3.33402,6.75158,4.88239,3.33402,6.75158,4.88239,
4,3.37807,6.782,4.78931,3.37807,6.782,4.78931,3.37807,6.782,4.78931,
5,3.47106,6.80812,4.86391,3.47106,6.80812,4.86391,3.47106,6.80812,4.86391,
6,3.54244,6.70795,4.78032,3.54244,6.70795,4.78032,3.54244,6.70795,4.78032,
7,3.38892,6.96304,4.88893,3.38892,6.96304,4.88893,3.38892,6.96304,4.88893,
8,3.46372,6.90318,4.69199,3.46372,6.90318,4.69199,3.46372,6.90318,4.69199,
9,3.40546,6.95083,4.77225,3.40546,6.95083,4.77225,3.40546,6.95083,4.77225,
:,3.50023,6.46404,5.05199,3.50023,6.46404,5.05199,3.50023,6.46404,5.05199,
;,3.50873,6.11639,4.98172,3.50873,6.11639,4.98172,3.50873,6.11639,4.98172,
<,3.48989,6.49842,4.93379,3.48989,6.49842,4.93379,3.48989,6.49842,4.93379,
=,3.46778,6.56456,5.06588,3.46778,6.56456,5.06588,3.46778,6.56456,5.06588,
>,3.48109,6.50034,4.93249,3.48109,6.50034,4.93249,3.48109,6.50034,4.93249,
?,3.4095,6.75766,4.92011,3.4095,6.75766,4.92011,3.4095,6.75766,4.92011,
@,3.55303,6.07843,4.17265,3.55303,6.07843,4.17265,3.55303,6.07843,4.17265,
A,3.43757,6.68343,4.65282,3.43757,6.68343,4.65282,3.43757,6.68343,4.65282,
B,3.53784,6.94419,4.66513,3.53784,6.94419,4.66513,3.53784,6.94419,4.66513,
C,3.71021,6.70913,4.83119,3.71021,6.70913,4.83119,3.71021,6.70913,4.83119,
D,3.52613,6.89892,4.7055,3.52613,6.89892,4.7055,3.52613,6.89892,4.7055,
E,3.66324,6.81017,4.84755,3.66324,6.81017,4.84755,3.66324,6.81017,4.84755,
F,3.69375,6.91187,4.85764,3.69375,6.91187,4.85764,3.69375,6.91187,4.85764,
G,3.55753,6.68819,4.74795,3.55753,6.68819,4.74795,3.55753,6.68819,4.74795,
H,3.48128,6.86914,4.75282,3.48128,6.86914,4.75282,3.48128,6.86914,4.75282,
I,3.49037,6.75605,4.87533,3.49037,6.75605,4.87533,3.49037,6.75605,4.87533,
J,3.35209,6.77395,4.86247,3.35209,6.77395,4.86247,3.35209,6.77395,4.86247,
K,3.67441,6.84515,4.69299,3.67441,6.84515,4.69299,3.67441,6.84515,4.69299,
L,3.67748,6.47121,4.8913,3.67748,6.47121,4.8913,3.67748,6.47121,4.8913,
M,3.46304,7.20534,4.29877,3.46304,7.20534,4.29877,3.46304,7.20534,4.29877,
N,3.47899,6.99275,4.4005,3.47899,6.99275,4.4005,3.47899,6.99275,4.4005,
O,3.47133,6.86868,4.66684,3.47133,6.86868,4.66684,3.47133,6.86868,4.66684,
P,3.62012,7.13169,4.77184,3.62012,7.13169,4.77184,3.62012,7.13169,4.77184,
Q,3.32787,6.37224,4.52785,3.32787,6.37224,4.52785,3.32787,6.37224,4.52785,
